,320CH1-A,320CH2-A,320CH3-A,320CH4-A,320CH5-A,320CH6-A,320CH7-A,320CH8-A,320CH9-A,320CH10-A,320CH11-A,320CH12-A,320CH13-A,320CH14-A,320CH15-A,320CH16-A,320CH17-A,320CH18-A,320CH19-A,320CH20-A,320CH21-A,320CH22-A,320CH23-A,320CH24-A,320CH25-A,320CH26-A,320CH27-A,320CH28-A,320CH29-A,320CH30-A,320CH31-A,320CH32-A,320CH33-A,320CH34-A,320CH35-A,355CH1-A,355CH2-A,355CH3-A,355CH4-A,355CH5-A,355CH6-A,355CH7-A,355CH8-A,355CH9-A,355CH10-A,355CH11-A,355CH12-A,355CH13-A,355CH14-A,355CH15-A,355CH16-A,355CH17-A,355CH18-A,355CH19-A,355CH20-A,355CH21-A,355CH22-A,355CH23-A,355CH24-A,355CH25-A,355CH26-A,355CH27-A,355CH28-A,355CH29-A,355CH30-A,355CH31-A,355CH32-A,355CH33-A,355CH34-A,355CH35-A,405CH1-A,405CH2-A,405CH3-A,405CH4-A,405CH5-A,405CH6-A,405CH7-A,405CH8-A,405CH9-A,405CH10-A,405CH11-A,405CH12-A,405CH13-A,405CH14-A,405CH15-A,405CH16-A,405CH17-A,405CH18-A,405CH19-A,405CH20-A,405CH21-A,405CH22-A,405CH23-A,405CH24-A,405CH25-A,405CH26-A,405CH27-A,405CH28-A,405CH29-A,405CH30-A,405CH31-A,405CH32-A,405CH33-A,405CH34-A,405CH35-A,488CH4-A,488CH5-A,488CH6-A,488CH7-A,488CH8-A,488CH9-A,488CH10-A,488CH11-A,488CH12-A,488CH13-A,488CH14-A,488CH15-A,488CH16-A,488CH17-A,488CH18-A,488CH19-A,488CH20-A,488CH21-A,488CH22-A,488CH23-A,488CH24-A,488CH25-A,488CH26-A,488CH27-A,488CH28-A,488CH29-A,488CH30-A,488CH31-A,488CH32-A,488CH33-A,488CH34-A,488CH35-A,561CH10-A,561CH11-A,561CH12-A,561CH13-A,561CH14-A,561CH15-A,561CH16-A,561CH17-A,561CH18-A,561CH19-A,561CH20-A,561CH21-A,561CH22-A,561CH23-A,561CH24-A,561CH25-A,561CH26-A,561CH27-A,561CH28-A,561CH29-A,561CH30-A,561CH31-A,561CH32-A,561CH33-A,561CH34-A,561CH35-A,637CH17-A,637CH18-A,637CH19-A,637CH20-A,637CH21-A,637CH22-A,637CH23-A,637CH24-A,637CH25-A,637CH26-A,637CH27-A,637CH28-A,637CH29-A,637CH30-A,637CH31-A,637CH32-A,637CH33-A,637CH34-A,637CH35-A
BV480,0.000174285,-4.43E-05,0.018756301,0.077184597,0.085582277,0.061368691,0.040426332,0.02496723,0.002897944,0.00450153,0.010752126,0.008443393,0.004787125,0.003563439,0.001069218,0.000102062,0.001388601,0.00070141,0.0005073,0.000649298,0.000456058,0.000259193,0.000374902,0.001237077,0.002135517,0.002227146,0.001284694,0.000643475,0.000172603,1.79E-05,-1.66E-05,-4.49E-07,-1.31E-05,1.16E-05,-6.14E-07,-0.000810331,-1.09E-05,0.007422421,0.034860543,0.045041744,0.038581106,0.025979975,0.016012833,0.0029632,0.001836703,0.005592362,0.004200206,0.002948219,0.001917198,0.00069477,9.14E-05,0.000484885,0.000501374,0.000406473,0.000326372,0.000174365,0.000157306,0.000247558,0.000481094,0.000997359,0.000881672,0.000775522,0.000511595,0.000245226,9.28E-05,7.67E-05,7.71E-05,0.000104357,5.91E-06,4.51E-05,0.044753827,0.0834804,0.440932506,0.994376218,1,0.791528968,0.568147803,0.352044616,0.050783513,0.055212898,0.112111822,0.084399617,0.062532883,0.054462723,0.016750054,0.002461587,0.013301525,0.011596314,0.007992395,0.006060943,0.004382952,0.003236145,0.004147376,0.011735184,0.024405774,0.026114192,0.019896091,0.01435239,0.00788284,0.003238256,0.00144289,0.002498783,0.002242678,0.001066356,0.000402187,0.013547456,0.012668198,0.012245832,0.008940904,0.005429031,0.001030842,0.00087312,0.00230974,0.001643187,0.001217564,0.000897665,0.000351684,4.75E-05,0.000277445,0.000193423,0.000105295,9.25E-05,9.48E-05,0.00010815,2.27E-05,8.28E-05,0.000144798,0.000236937,0.000182619,0.000112511,3.68E-05,1.57E-05,-3.76E-06,2.90E-05,1.18E-05,2.79E-05,8.45E-06,0.000287003,0.000609434,5.39E-05,0.00021525,0.000186288,0.000101577,2.13E-05,2.79E-05,2.65E-05,-0.000251978,-9.61E-05,-0.000287258,-3.30E-05,-0.000177796,3.38E-05,-0.000105463,-3.91E-06,-2.82E-05,-7.74E-06,-1.76E-06,1.13E-06,-7.07E-06,-3.59E-06,-1.33E-05,-8.46E-06,3.53E-06,3.73E-05,-6.31E-05,-7.25E-05,-3.19E-05,-5.86E-05,6.98E-05,5.11E-06,8.98E-06,-1.83E-05,1.50E-06,-2.77E-05,1.20E-05,-3.01E-05,0.000142138,8.14E-06,0.000199057,7.26E-05,4.00E-05,4.33E-06
BV510,0.000432867,0.00075527,0.00616568,0.055075835,0.063524771,0.060147074,0.054762182,0.036923603,0.005676714,0.010599243,0.024444821,0.020214713,0.01469975,0.011104696,0.003672139,0.000541321,0.00304158,0.004114251,0.003395927,0.002497327,0.0016707,0.001465767,0.001287872,0.001524141,0.001464876,0.001468877,0.001261909,0.001260989,0.000662215,0.000547051,0.000537339,0.000301253,0.000578341,0.000411952,0.000260691,-0.000440354,0.000919252,0.007620991,0.081181134,0.107859382,0.116281301,0.104000792,0.069686318,0.011203558,0.021840346,0.040460022,0.03377025,0.023884798,0.016592521,0.006833592,0.005743353,0.007595395,0.008159642,0.006675292,0.005870903,0.003834535,0.003926998,0.002742485,0.004149124,0.003978886,0.004593728,0.002986604,0.003530494,0.001904841,0.002380417,0.001087768,0.002238789,0.001113915,0.001743959,0.000927536,0.016525284,0.050943596,0.127476038,0.952691807,0.95126459,1,0.904514604,0.640015885,0.097896562,0.17028542,0.312445384,0.2658348,0.213397854,0.193156,0.069783304,0.008720147,0.062967415,0.070145611,0.051093688,0.037087314,0.029868004,0.020901973,0.019891563,0.020650448,0.025310417,0.028399517,0.027420379,0.020386894,0.01409696,0.010593674,0.008078816,0.010598276,0.008598289,0.006234774,0.004134508,0.000649954,0.000966976,0.000995383,0.001243166,0.000775769,0.000530332,0.000402988,0.000937752,0.000599906,0.000436385,0.000606448,0.000210798,0.000206689,0.000191859,0.000325416,0.000116332,0.00011219,0.000164336,0.000302638,0.000273857,0.000158407,0.000151062,0.00016973,0.000225184,0.000207696,0.000220496,0.000151484,0.000229436,0.00023908,0.000196424,0.000119303,0.000160614,0.000162476,0.00036954,0.000381026,-2.82E-05,0.000300605,0.000238303,4.96E-05,0.000133213,4.12E-05,-6.05E-05,0.000375718,-0.000136557,0.000361063,0.000110913,0.000243984,-8.39E-06,-0.000124253,0.000187157,0.000163022,7.98E-05,0.000245134,0.000159555,0.000244022,0.00012166,0.000150715,6.14E-05,9.78E-05,0.000294629,3.94E-05,0.000383563,0.000148663,0.000300028,0.000192209,0.000279023,0.000188048,0.00019951,0.000209144,0.000189883,9.64E-05,0.000191409,3.30E-05,0.000249021,0.000227091,0.000206894,0.000260479
BV570,0.005346909,0.002502443,0.001237704,0.000783503,0.001139642,0.00075102,0.000663192,0.001470863,0.000595077,0.007606956,0.016662699,0.010975993,0.008427553,0.007060527,0.002773666,0.000752564,0.002220892,0.002444068,0.001670794,0.001253318,0.001018572,0.000879914,0.000645227,0.000121937,0.000804902,0.000234377,0.000455959,0.000772045,0.000835019,0.000166369,0.000404824,0.000226965,0.000676437,0.000291474,0.000370771,0.00246519,0.009247537,0.003974879,0.002141572,0.003523937,0.002941771,0.004517723,0.007329674,0.002972605,0.043322102,0.080578586,0.053464919,0.03876184,0.032630744,0.013425223,0.001946423,0.010285776,0.010560646,0.009163565,0.006941547,0.004707795,0.003486117,0.003037766,0.002268221,0.00209998,0.001206373,0.001408206,0.000997746,0.000591366,0.001184412,0.001576692,0.001943188,0.001300437,0.001308254,0.000727734,0.338973601,0.184012435,0.057618915,0.053764514,0.038408554,0.038902487,0.041567011,0.101061586,0.037664091,0.585394102,1,0.706850333,0.556357522,0.618237489,0.24302348,0.02517451,0.158899945,0.167893975,0.133134541,0.099194027,0.07238222,0.049389937,0.038738947,0.026078634,0.0193756,0.015249421,0.013012212,0.011297258,0.008811103,0.008809281,0.013076684,0.026867836,0.018826924,0.013870184,0.007412503,0.001667667,0.001843826,0.001872235,0.002702829,0.007983167,0.004201675,0.029392589,0.085286204,0.064944217,0.044348122,0.039239715,0.019449083,0.001685068,0.008953077,0.011364955,0.009416067,0.007690211,0.005180025,0.003496401,0.002497432,0.001777869,0.001614899,0.001174815,0.000688395,0.001101996,0.000721134,0.00087477,0.000904719,0.001441629,0.000494319,0.000760296,0.000521997,0.629393714,0.679027364,0.411805364,0.295844248,0.265171925,0.088716623,0.011541849,0.064166073,0.067861636,0.049415928,0.038799754,0.02999017,0.018717873,0.014885764,0.010874189,0.009246319,0.006311939,0.006007445,0.005089339,0.003630125,0.003103538,0.005134198,0.006714263,0.007177929,0.004172868,0.003425053,0.000533887,0.000378831,0.000241762,0.000434565,2.88E-05,0.000485887,0.000435933,-1.47E-05,-2.18E-06,0.000288336,0.000180434,0.000138743,3.28E-05,6.49E-05,1.55E-05,0.000399566,-0.000209721,0.000283451,7.82E-06
BV605,-0.000408571,0.00269466,0.001058302,0.000246905,0.000173372,0.000148667,0.000180683,0.000334339,0.000134974,0.004036694,0.036183812,0.094117671,0.106032038,0.070655498,0.020470077,0.005500735,0.034414055,0.03657751,0.025021387,0.019985635,0.014312181,0.011597734,0.009876818,0.007708136,0.005708725,0.003564891,0.002643579,0.001991408,0.00121238,0.000300503,0.000152836,0.00021431,0.000646218,0.000735646,0.000719127,-0.000190727,0.001847853,0.0008075,0.000352663,0.000369258,0.000267306,0.000198967,0.000157077,9.48E-05,0.002192409,0.0211742,0.063367173,0.079330645,0.052789888,0.020303847,0.00402103,0.02674394,0.027564046,0.02224775,0.015722238,0.010369113,0.008548511,0.007040622,0.00610216,0.004818842,0.003629207,0.002603686,0.002158016,0.001563097,0.001290086,0.001146538,0.001245328,0.001523659,0.001799459,0.001460515,0.116423748,0.062365113,0.018807639,0.013643645,0.012007453,0.010075961,0.007618702,0.005279952,0.001913549,0.043257278,0.316421561,0.84340538,1,0.890876537,0.270342262,0.0697864,0.402935885,0.39323498,0.279081365,0.190146934,0.143998103,0.112903127,0.09623378,0.076891891,0.057332682,0.042672186,0.030176937,0.02289784,0.017903589,0.014509423,0.012897919,0.017026685,0.023668119,0.026408023,0.022770325,2.47E-05,3.55E-05,1.34E-05,4.12E-05,3.93E-05,2.45E-05,0.00101946,0.009568933,0.028735726,0.033597934,0.025294268,0.008672284,0.001282826,0.009841842,0.010440307,0.00797144,0.0058225,0.004126619,0.003060169,0.002467079,0.002032924,0.001600956,0.001231339,0.00086689,0.000643291,0.000469153,0.000237849,0.000252308,0.000247628,0.000258233,0.000278316,0.000261586,0.035817285,0.144183926,0.342677385,0.407576308,0.300466662,0.106029982,0.018679576,0.109061451,0.134580643,0.094620412,0.067432101,0.050953007,0.038828315,0.034126191,0.026374981,0.021769663,0.016144795,0.011929989,0.009010163,0.006966564,0.005175132,0.004088989,0.003762998,0.003970462,0.003547368,0.003418565,0.000362512,0.00054048,0.000399747,0.00027713,0.000200559,0.00013881,0.000119102,0.00010711,0.000108049,7.24E-05,4.70E-05,2.73E-05,1.94E-05,3.20E-06,1.44E-06,3.35E-05,-1.57E-06,5.97E-05,3.22E-07
BV650,-0.000547211,0.003921848,0.001634009,0.000737255,0.000705169,0.000307828,5.76E-05,6.42E-05,-3.29E-05,8.08E-05,0.000454492,0.001695869,0.005541404,0.015966234,0.010766349,0.008983003,0.057062407,0.0576223,0.040498398,0.034618925,0.026962367,0.020941539,0.015910339,0.01195276,0.00780022,0.005246323,0.003580401,0.002391681,0.000917302,0.000220082,0.000133731,5.72E-05,3.46E-05,1.90E-05,2.94E-05,-0.000332842,0.002919877,0.001281666,0.000349263,0.000588996,0.000452216,0.000244448,0.000115975,1.77E-05,5.81E-05,0.00037389,0.001329539,0.004745475,0.014024654,0.01301232,0.008108222,0.059203731,0.057644697,0.047130363,0.036254886,0.025433266,0.020825198,0.015694811,0.012597391,0.009316982,0.006882229,0.004915997,0.003890227,0.002843715,0.002291952,0.001873432,0.001378208,0.000896083,0.000674139,0.000570428,0.176068475,0.094834144,0.028543816,0.019177401,0.016042323,0.012200439,0.008225387,0.005147843,0.001253995,0.002491586,0.008069172,0.026286092,0.092818151,0.34580316,0.225718874,0.170670517,1,0.930948741,0.677119839,0.502204643,0.400910178,0.306325914,0.239604152,0.177303441,0.125223925,0.091442782,0.064348055,0.048349362,0.036785247,0.027841061,0.021370475,0.017018531,0.012965966,0.009962527,0.008789346,-5.91E-06,2.04E-06,-2.06E-05,1.66E-05,6.83E-05,2.93E-05,0.000101467,7.99E-05,0.000309778,0.000551849,0.001575155,0.001209905,0.000488151,0.004379685,0.00445806,0.003496396,0.002705997,0.002047191,0.001519243,0.001094819,0.000847996,0.000618558,0.000405384,0.00026932,0.00017181,0.000118103,4.00E-05,4.49E-05,3.09E-05,1.82E-05,1.19E-05,1.62E-05,0.000295222,0.001159767,0.003040825,0.010196565,0.031093063,0.025572798,0.01336171,0.086394476,0.101279147,0.072513735,0.056254003,0.044744153,0.033852432,0.027162563,0.019633486,0.014864795,0.010864998,0.007601489,0.005760902,0.004402976,0.003093784,0.002187706,0.001588973,0.000746731,0.000148875,0.000149009,0.071107692,0.077630428,0.06280645,0.043450412,0.034133645,0.025466957,0.021263408,0.016270437,0.012660661,0.008916757,0.00664699,0.005081212,0.003670735,0.002856012,0.002457409,0.00177602,0.001468207,0.001007021,0.000610609
BV711,-0.000598737,0.005071666,0.002114559,0.000836378,0.000729994,0.00059409,0.000428629,0.000229255,-3.24E-05,-1.93E-05,-7.07E-05,1.46E-05,0.000105104,-4.65E-06,6.27E-05,-2.81E-05,0.000255579,0.001165617,0.004579832,0.017046812,0.039082627,0.060475681,0.065364869,0.049479754,0.032331849,0.020614975,0.017114411,0.013695771,0.012510183,0.007725387,0.004804236,0.00276274,0.000567641,0.00012688,8.64E-05,-0.000409077,0.003888327,0.001682075,0.000689786,0.000649926,0.000571564,0.000344538,0.000218593,3.54E-06,1.61E-05,6.06E-05,6.60E-05,4.56E-05,5.99E-05,4.11E-05,3.17E-06,0.000336029,0.001272971,0.005466346,0.018744821,0.041800075,0.070698244,0.076564239,0.065305343,0.04593431,0.033047191,0.024736934,0.022905684,0.0189775,0.016972263,0.013253947,0.010662505,0.006742669,0.004827802,0.002883027,0.247283147,0.131279598,0.039301866,0.025368546,0.023346429,0.016694259,0.010616297,0.005596251,0.000704754,0.000865024,0.00173717,0.001579221,0.001262942,0.00200849,0.00181123,0.001773735,0.007641395,0.0247068,0.088638044,0.275526674,0.642772264,0.945517985,1,0.76262945,0.511970755,0.366871725,0.277626658,0.23673343,0.203213983,0.167638809,0.12709619,0.098809661,0.067879604,0.044525969,0.025891614,-4.90E-05,-1.19E-05,-1.23E-05,-7.66E-06,-2.28E-05,-2.73E-05,9.04E-07,0.000100295,-5.05E-06,3.91E-05,3.11E-05,3.20E-05,2.36E-05,0.000141331,0.000520153,0.002271623,0.008416651,0.020947289,0.033676616,0.036430929,0.030325825,0.021531572,0.015232744,0.011717006,0.00981857,0.008579461,0.006328481,0.005228131,0.003680356,0.002683209,0.001775736,0.001032079,0.000131456,0.000503149,0.000306777,0.000264317,0.000332643,8.46E-05,2.81E-06,0.000224571,0.000918388,0.002997348,0.009787093,0.023504177,0.035640978,0.039863638,0.029929123,0.021703468,0.015189005,0.011568536,0.009828475,0.008568813,0.006721915,0.004814545,0.003428382,0.00224955,0.001096105,0.000517158,0.001669963,0.003619814,0.013534313,0.041767236,0.102913177,0.162349654,0.192333197,0.155623752,0.115122751,0.079614286,0.064869702,0.05412055,0.046794734,0.040118898,0.032951642,0.025371366,0.017655395,0.011849012,0.009299115
BV750,-0.000198838,0.006107309,0.002569881,0.000875273,0.00051415,0.000619266,0.000332555,0.000184916,0.000121464,3.39E-05,0.000255238,0.000107123,0.000252397,-3.53E-05,5.77E-05,-9.93E-06,-2.24E-05,1.30E-05,5.97E-05,0.000367527,0.000844081,0.002815874,0.009973313,0.024418992,0.041353279,0.048510984,0.047103646,0.03509728,0.026453897,0.014625571,0.010294398,0.007341197,0.005199688,0.00132228,0.000767222,-0.000402908,0.004279538,0.001873302,0.000684595,0.000900251,0.000701462,0.00044017,0.00027803,3.27E-05,4.34E-05,0.000111998,0.000109546,7.21E-05,7.03E-05,8.31E-06,-5.32E-06,4.76E-05,5.92E-05,0.000123731,0.000250002,0.000822999,0.003066958,0.009955322,0.027204229,0.05180404,0.070560879,0.066100477,0.055767419,0.037690817,0.02932767,0.022511475,0.019923426,0.014793991,0.012480072,0.00844598,0.265251112,0.142672416,0.043210284,0.030013847,0.025404624,0.018723202,0.012959576,0.006750267,0.000907486,0.001134537,0.002830834,0.002213688,0.001687232,0.001741428,0.000583938,0.000210232,0.001265769,0.001845217,0.00302072,0.005760889,0.018199337,0.061378223,0.196778011,0.469275892,0.793941429,1,0.880897777,0.673936605,0.476932469,0.347664309,0.263723068,0.229141597,0.185502659,0.14048781,0.090589249,-3.17E-06,4.87E-05,2.09E-06,2.47E-05,2.76E-05,-1.26E-05,-6.19E-05,7.29E-05,8.05E-05,8.42E-05,2.25E-05,-2.96E-06,-3.96E-06,7.37E-06,4.74E-05,5.76E-05,0.000117035,0.000327841,0.001186339,0.003813728,0.010220073,0.019713133,0.026568458,0.025512058,0.019856423,0.014288132,0.008728364,0.007198963,0.005583195,0.004943487,0.003921354,0.003109927,1.20E-05,0.000204053,-2.75E-05,5.26E-05,0.000126224,8.28E-05,-2.32E-05,6.03E-05,3.63E-05,0.000120872,5.08E-05,0.00025031,0.000749367,0.001792728,0.004244201,0.008580797,0.011119237,0.01030656,0.008126764,0.005737098,0.003718096,0.002571226,0.001937382,0.001168689,0.000403056,0.000337306,0.000180803,6.61E-05,9.42E-05,0.000225744,0.000604171,0.002040124,0.007033651,0.017863979,0.035002115,0.046186341,0.046748256,0.03594837,0.025190158,0.018538261,0.014762375,0.012992726,0.010044648,0.008024592,0.007088067
BV785,-0.001904564,0.008800792,0.003580062,0.000657778,0.000886202,0.001193749,0.000560696,0.000507415,3.78E-05,0.000162895,0.000269297,0.000174717,0.000297577,9.32E-05,-0.000125718,-2.92E-05,-5.38E-05,0.000205964,7.93E-05,0.000312535,-5.21E-05,0.000369601,0.000841785,0.002562329,0.006958881,0.014631344,0.028446181,0.040158709,0.049608703,0.038541933,0.028231741,0.017588859,0.008963627,0.001213569,0.00041253,-0.000793862,0.006852072,0.003007793,0.001194292,0.001566707,0.001331528,0.00088559,0.000450934,7.23E-05,8.03E-05,0.000253627,0.000190015,0.000182116,0.0001207,5.82E-05,-1.10E-05,4.97E-05,7.92E-05,0.000252427,0.000174338,0.000229269,0.000381375,0.00106437,0.003269526,0.00957696,0.022629565,0.040409517,0.065862442,0.075452136,0.078548285,0.065807386,0.051282123,0.030418932,0.020499312,0.011796775,0.419508318,0.224434834,0.067895654,0.045427287,0.041742921,0.031129973,0.020722538,0.01108236,0.001508675,0.001970603,0.004193229,0.003622824,0.003250054,0.003546381,0.001137623,0.000354668,0.002572008,0.003250622,0.00363394,0.003876377,0.005105796,0.008270801,0.022618754,0.064834546,0.167014036,0.370523267,0.624668848,0.88380237,1,0.944373488,0.733638332,0.549067086,0.353142148,0.21565901,0.12299541,1.83E-05,4.32E-05,3.83E-05,9.27E-05,2.41E-05,-2.70E-05,-2.02E-05,0.00016795,0.000116051,0.00012671,0.000108299,1.71E-05,8.54E-06,8.40E-05,2.34E-05,7.99E-05,7.14E-05,3.63E-05,0.000103777,0.000175378,0.000601317,0.001784469,0.004499899,0.008591798,0.012984137,0.015472893,0.013151164,0.01166678,0.008116488,0.005531671,0.003330508,0.002032205,-0.000193305,0.000358957,-3.38E-05,9.97E-05,0.000343876,0.00012839,6.46E-06,0.000169971,0.000217863,0.000217252,0.000567028,-3.39E-05,0.000140883,0.000316756,0.000628374,0.001764678,0.004376799,0.0080206,0.012971817,0.015589981,0.014383426,0.011963702,0.008161891,0.005269263,0.002710568,0.001130076,9.84E-05,8.79E-05,0.000183338,0.000227412,0.000202063,0.000315161,0.000783851,0.002277272,0.006234133,0.013942536,0.027201373,0.040042471,0.047759933,0.048605784,0.043482073,0.032528654,0.021051069,0.013350596,0.009971713
BV786,-0.000803643,0.001350686,0.000553308,0.000165312,0.000118833,-0.000143486,0.000422154,0.000155185,0.000315549,0.00026256,0.000261465,-0.000188818,0.000245954,-0.000221062,0.000228907,0.000152877,0.000207566,0.000387457,0.000422567,0.000228546,0.00089264,-7.02E-05,0.000632277,0.001161686,0.002286497,0.0031356,0.005258028,0.008011838,0.010857778,0.009172538,0.008324223,0.00477114,0.003801557,0.002983115,0.001465064,0.000358015,0.008926719,0.003829098,0.001216172,0.002620403,0.00171953,0.000626571,0.00056631,0.000178301,0.000189318,0.000244133,6.96E-05,0.000408126,0.000364464,0.000484046,5.85E-05,9.23E-05,0.000171062,0.000332914,-3.97E-05,0.000386533,0.000543123,0.001854474,0.004521289,0.012011201,0.02646034,0.047214324,0.076644779,0.085451081,0.094675578,0.079839202,0.057695221,0.035107392,0.024833649,0.016723081,0.409918522,0.219893869,0.068463778,0.055776717,0.043668623,0.030495478,0.022028655,0.011499082,0.000869997,0.002773712,0.002863493,0.002909172,8.80E-05,0.005498208,-0.000693337,0.000287921,0.001566107,0.002992062,0.002325809,0.00375889,0.004183409,0.007767345,0.018694286,0.055239095,0.141114478,0.337205192,0.595311415,0.853520948,0.998809704,1,0.797578169,0.622174747,0.4079749,0.280932805,0.165189695,-4.87E-05,-0.000735406,-4.46E-05,-0.000190388,-4.99E-05,-0.000367154,-0.000407758,-0.000811667,-0.000272464,-0.000216065,-0.000639244,-0.000104842,-0.000129389,-7.22E-06,0.000228725,-8.94E-05,9.35E-05,9.05E-06,-8.59E-05,-2.06E-05,0.000300265,0.001882667,0.00454756,0.008418027,0.012923416,0.018211765,0.018439198,0.015204973,0.011458956,0.007507678,0.005870869,0.003820078,0.000261086,5.92E-05,0.000684861,0.000189137,7.71E-05,9.20E-05,0.00011643,0.000350614,9.54E-05,0.000230945,0.000254732,0.001289572,-0.000299626,0.000258792,0.001396461,0.002466391,0.005705201,0.009758353,0.01541605,0.018272837,0.01758599,0.014469275,0.010201237,0.006233273,0.004042197,0.003330964,0.000438003,0.000304001,0.00055177,0.000393223,0.00055195,0.000764654,0.001383388,0.002879608,0.007581816,0.015143224,0.029692411,0.042519409,0.048959248,0.050282903,0.042510081,0.032496354,0.02287196,0.015091722,0.023934041
BYG584,0.000125967,-1.61E-06,9.18E-06,2.03E-05,-4.88E-05,-5.34E-07,-2.74E-05,6.39E-05,1.41E-05,0.001265297,0.003586075,0.002974133,0.001884303,0.001238165,0.000390235,4.59E-05,0.00033861,0.000439492,0.000256173,0.000186948,0.000124903,9.80E-05,7.56E-05,4.82E-05,6.13E-06,2.25E-05,-9.32E-06,2.82E-05,-1.64E-05,-2.56E-06,-1.82E-05,9.50E-06,-2.38E-05,6.66E-06,-3.01E-05,1.94E-05,4.44E-06,1.42E-06,9.20E-06,6.11E-05,-1.41E-05,2.33E-05,4.13E-05,4.91E-05,0.001505422,0.00375612,0.003076415,0.001863065,0.001139071,0.000443423,6.68E-05,0.000507577,0.000423083,0.000334805,0.000223627,0.000199578,0.000111989,0.000102805,4.32E-05,5.97E-05,1.26E-05,2.95E-05,-6.21E-06,1.75E-05,9.07E-06,4.88E-05,6.38E-05,0.000107094,2.62E-05,4.33E-05,5.11E-06,-3.73E-05,-1.97E-05,5.92E-05,0.000241505,1.49E-05,0.000220047,0.000675306,0.000509601,0.01891181,0.043024245,0.037654785,0.024922179,0.020459622,0.007603223,0.001071726,0.007060018,0.007091073,0.00472837,0.003324627,0.002426045,0.001776556,0.00149701,0.001022794,0.000629282,0.000416717,0.000398036,0.000305274,0.000239093,0.000224023,0.000582376,0.000997188,0.000884279,0.000612661,0.000312363,8.30E-05,4.98E-05,4.91E-05,9.49E-05,0.000676057,0.000591904,0.012661869,0.047716987,0.044969922,0.027792059,0.018448458,0.008298642,0.000704885,0.00498261,0.006013724,0.00445292,0.00341098,0.002482262,0.001584546,0.001173877,0.000833386,0.00063251,0.000425488,0.000376974,0.000252284,0.000211991,0.000261899,0.000370497,0.000485987,0.000441964,0.000317369,0.000197291,0.726798892,1,0.762438503,0.485463597,0.352321693,0.130678307,0.023969019,0.133852963,0.127750161,0.083175528,0.060068972,0.046535068,0.035240076,0.027591112,0.019323892,0.015081003,0.010785098,0.008059892,0.006634579,0.00539001,0.005318134,0.008765832,0.014395051,0.014647006,0.010055637,0.006660261,-1.15E-05,1.71E-05,6.16E-06,1.73E-05,-1.11E-05,-3.17E-06,-3.74E-06,-1.15E-05,-1.34E-05,-9.37E-06,-1.80E-05,-1.24E-06,-6.25E-06,2.43E-06,-2.38E-05,-3.35E-07,-5.47E-06,6.77E-07,3.19E-06
FITC,-0.001372408,-0.000429685,-4.13E-06,0.054419053,0.096099985,0.103396314,0.075893703,0.042534419,0.005503354,0.007272698,0.017823941,0.011452056,0.006983437,0.005230322,0.001374372,0.000244477,0.000945766,0.000919612,0.000678688,0.000676452,0.000302187,0.000232171,0.00040927,0.000934242,0.002719457,0.003159242,0.003215529,0.001947669,0.000388724,3.34E-05,-1.54E-05,-8.28E-06,-3.52E-06,-8.49E-06,-6.94E-06,-0.000771233,-0.00022719,-0.000107735,0.011603002,0.024170592,0.032184454,0.025358859,0.014579468,0.002450794,0.001740174,0.004808364,0.003325602,0.002146078,0.001319522,0.000506329,6.30E-05,0.000350266,0.000321195,0.000243993,0.000180624,0.000110224,7.98E-05,7.33E-05,0.000224458,0.000498435,0.000707946,0.00065006,0.000491199,0.000198898,7.44E-05,3.45E-05,5.39E-05,5.87E-05,3.18E-05,2.48E-05,-0.000805524,-0.000727611,-0.000411265,0.078868617,0.130212867,0.154563046,0.126565919,0.072495698,0.009783023,0.01126387,0.023359807,0.016247272,0.011122302,0.009603006,0.002894252,0.000393863,0.002213961,0.002023297,0.001452892,0.001085474,0.000641615,0.000601208,0.000615,0.001272504,0.003058758,0.004086208,0.003751705,0.00265624,0.001418675,0.000530241,0.000213838,0.000386732,0.000202939,8.20E-05,2.78E-05,0.525781341,0.757560966,1,0.79717351,0.476967898,0.083201057,0.063308864,0.165502853,0.116561268,0.071434936,0.051765488,0.018919595,0.001906803,0.01035046,0.009353826,0.006982211,0.005310095,0.003725352,0.002602937,0.002154571,0.004793467,0.011144844,0.018089758,0.017510655,0.013747743,0.007601728,0.004286125,0.001454606,0.002034581,0.001758733,0.001109235,0.000917919,0.00012538,0.000194306,9.18E-05,-9.79E-06,-4.24E-05,7.11E-05,-2.77E-06,-3.74E-05,6.15E-05,3.56E-05,0.000156725,0.00018988,-1.04E-05,-0.000151812,-1.89E-05,-7.30E-06,-3.79E-05,1.36E-05,-1.23E-05,1.30E-05,-6.64E-06,-7.57E-06,-6.94E-06,-2.62E-06,-1.42E-06,-7.62E-06,-0.000124466,-0.000118959,2.54E-05,2.59E-05,2.18E-05,-1.06E-05,2.11E-05,-2.12E-05,1.35E-05,1.76E-05,2.58E-05,-1.86E-06,-6.59E-06,6.50E-05,-0.000189199,0.000145633,-8.04E-06,-0.000100091,-1.52E-05
